province,tuik_code,lat,lon,population,total_buildings,pre1980,pct_1980_2000,post2000,masonry_pct,rc_pct,steel_pct,avg_floors,archetype
Duzce,81,40.84,31.16,382845,123782,49512,44561,29707,0.35,0.62,0.03,2.9,black_sea
Edirne,22,41.68,26.56,413072,137886,38608,52396,46881,0.12,0.82,0.06,4.8,marmara
Elazig,23,38.67,39.22,584640,196680,98340,64904,33435,0.42,0.55,0.03,2.8,east
Erzincan,24,39.75,39.49,232028,73834,36917,24365,12551,0.42,0.55,0.03,2.8,east
Erzurum,25,39.9,41.27,750559,252876,126438,83449,42988,0.42,0.55,0.03,2.8,east
Eskisehir,26,39.78,30.52,887475,286078,108709,100127,77241,0.28,0.68,0.04,3.4,central
Gaziantep,27,37.07,37.38,2154051,686786,329657,219771,137357,0.38,0.59,0.03,3.1,southeast
Giresun,28,40.91,38.39,436266,151949,60779,54701,36467,0.35,0.62,0.03,2.9,black_sea
Gumushane,29,40.46,39.48,179352,62567,25026,22524,15016,0.35,0.62,0.03,2.9,black_sea
Hakkari,30,37.58,43.74,276202,94906,47453,31318,16134,0.42,0.55,0.03,2.8,east
Hatay,31,36.4,36.36,1644614,537493,155872,193497,188122,0.14,0.8,0.06,3.8,mediterranean
Igdir,76,39.92,44.04,197456,63170,31585,20846,10738,0.42,0.55,0.03,2.8,east
Isparta,32,37.76,30.55,430001,145974,55470,51090,39412,0.28,0.68,0.04,3.4,central
Istanbul,34,41.01,28.97,15655924,5187409,1141229,1815593,2230585,0.08,0.85,0.07,6.1,istanbul
Izmir,35,38.42,27.14,4479525,1436738,431021,531593,474123,0.15,0.79,0.06,4.2,aegean
Kahramanmaras,46,37.58,36.93,1145988,381811,198541,125997,57271,0.44,0.53,0.03,2.6,kahramanmaras
Karabuk,78,41.2,32.62,243048,77243,30897,27807,18538,0.35,0.62,0.03,2.9,black_sea
Karaman,70,37.18,33.22,237114,82273,31263,28795,22213,0.28,0.68,0.04,3.4,central
Kars,36,40.61,43.1,281430,91547,45773,30210,15562,0.42,0.55,0.03,2.8,east
Kastamonu,37,41.38,33.78,375566,127223,50889,45800,30533,0.35,0.62,0.03,2.9,black_sea
Kayseri,38,38.73,35.49,1418674,463987,176315,162395,125276,0.28,0.68,0.04,3.4,central
Kilis,79,36.72,37.12,136572,45615,21895,14596,9123,0.38,0.59,0.03,3.1,southeast
Kirikkale,71,39.85,33.51,283657,94993,36097,33247,25648,0.28,0.68,0.04,3.4,central
Kirklareli,39,41.74,27.22,363085,117214,32819,44541,39852,0.12,0.82,0.06,4.8,marmara
Kirsehir,40,39.14,34.16,238831,83348,31672,29171,22503,0.28,0.68,0.04,3.4,central
Kocaeli,41,40.76,29.92,2072753,709927,198779,269772,241375,0.12,0.82,0.06,4.8,marmara
Konya,42,37.87,32.49,2279810,793335,301467,277667,214200,0.28,0.68,0.04,3.4,central
Kutahya,43,39.42,29.98,567207,196533,74682,68786,53063,0.28,0.68,0.04,3.4,central
Malatya,44,38.35,38.31,792041,266598,138630,87977,39989,0.44,0.53,0.03,2.6,kahramanmaras
Manisa,45,38.62,27.43,1452946,504747,151424,186756,166566,0.15,0.79,0.06,4.2,aegean
Mardin,47,37.31,40.74,840706,268703,128977,85984,53740,0.38,0.59,0.03,3.1,southeast
Mersin,33,36.8,34.64,1946609,629142,182451,226491,220199,0.14,0.8,0.06,3.8,mediterranean
Mugla,48,37.22,28.36,1077716,342901,102870,126873,113157,0.15,0.79,0.06,4.2,aegean
Mus,49,38.74,41.5,419129,137269,68634,45298,23335,0.42,0.55,0.03,2.8,east
Nevsehir,50,38.62,34.72,299027,98566,37455,34498,26612,0.28,0.68,0.04,3.4,central
Nigde,51,37.97,34.68,362975,118225,44925,41378,31920,0.28,0.68,0.04,3.4,central
Ordu,52,40.98,37.88,758082,261000,104400,93960,62640,0.35,0.62,0.03,2.9,black_sea
Osmaniye,80,37.21,36.25,554195,182085,52804,65550,63729,0.14,0.8,0.06,3.8,mediterranean
Rize,53,41.02,40.52,334098,108926,43570,39213,26142,0.35,0.62,0.03,2.9,black_sea
Sakarya,54,40.69,30.43,1082278,362299,101443,137673,123181,0.12,0.82,0.06,4.8,marmara
Samsun,55,41.29,36.33,1353716,435035,174014,156612,104408,0.35,0.62,0.03,2.9,black_sea
Sanliurfa,63,37.16,38.79,2208567,758436,364049,242699,151687,0.38,0.59,0.03,3.1,southeast
Siirt,56,37.93,41.94,332748,106197,50974,33983,21239,0.38,0.59,0.03,3.1,southeast
Sinop,57,42.02,35.15,202773,70881,28352,25517,17011,0.35,0.62,0.03,2.9,black_sea
Sirnak,73,37.52,42.46,544905,186579,89557,59705,37315,0.38,0.59,0.03,3.1,southeast
Sivas,58,39.75,37.02,604919,195564,74314,68447,52802,0.28,0.68,0.04,3.4,central
Tekirdag,59,41.0,27.51,1080073,342221,95821,130043,116355,0.12,0.82,0.06,4.8,marmara
Tokat,60,40.31,36.56,605811,208307,83322,74990,49993,0.35,0.62,0.03,2.9,black_sea
Trabzon,61,41.0,39.73,807903,274871,109948,98953,65969,0.35,0.62,0.03,2.9,black_sea
Tunceli,62,39.11,39.55,81507,27791,13895,9171,4724,0.42,0.55,0.03,2.8,east
Usak,64,38.68,29.41,362093,123971,37191,45869,40910,0.15,0.79,0.06,4.2,aegean
Van,65,38.49,43.38,1130279,360711,180355,119034,61320,0.42,0.55,0.03,2.8,east
Yalova,77,40.65,29.27,284680,93550,26194,35549,31807,0.12,0.82,0.06,4.8,marmara
Yozgat,66,39.82,34.81,413844,132648,50406,46426,35814,0.28,0.68,0.04,3.4,central
Zonguldak,67,41.45,31.8,573371,198063,79225,71302,47535,0.35,0.62,0.03,2.9,black_sea
