trace_name,event_id,station,taupy_p,emsc_p,correction,status
event_KO.KOZT_eu.emsc_event_20230218_0000199,quakeml:eu.emsc/event/20230218_0000199,KO.KOZT,5898.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230206_0000118,quakeml:eu.emsc/event/20230206_0000118,KO.KMRS,5079.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230213_0000324,quakeml:eu.emsc/event/20230213_0000324,KO.KMRS,4168.0,4120.0,-48.0,updated
event_KO.KOZT_eu.emsc_event_20230211_0000171,quakeml:eu.emsc/event/20230211_0000171,KO.KOZT,4517.0,4570.0,53.0,updated
event_KO.KMRS_eu.emsc_event_20230216_0000296,quakeml:eu.emsc/event/20230216_0000296,KO.KMRS,4585.0,4650.0,65.0,updated
event_KO.KOZT_eu.emsc_event_20230211_0000161,quakeml:eu.emsc/event/20230211_0000161,KO.KOZT,4510.0,4500.0,-10.0,updated
event_KO.KMRS_eu.emsc_event_20230213_0000056,quakeml:eu.emsc/event/20230213_0000056,KO.KMRS,3845.0,3980.0,135.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000083,quakeml:eu.emsc/event/20230206_0000083,KO.KMRS,3673.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230206_0000041,quakeml:eu.emsc/event/20230206_0000041,KO.KMRS,3464.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230211_0000328,quakeml:eu.emsc/event/20230211_0000328,KO.KMRS,4161.0,4240.0,79.0,updated
event_KO.KOZT_eu.emsc_event_20230209_0000042,quakeml:eu.emsc/event/20230209_0000042,KO.KOZT,4636.0,4760.0,124.0,updated
event_KO.KMRS_eu.emsc_event_20230213_0000094,quakeml:eu.emsc/event/20230213_0000094,KO.KMRS,4468.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230210_0000352,quakeml:eu.emsc/event/20230210_0000352,KO.KMRS,5093.0,5070.0,-23.0,updated
event_KO.KMRS_eu.emsc_event_20230218_0000075,quakeml:eu.emsc/event/20230218_0000075,KO.KMRS,4167.0,4170.0,3.0,updated
event_KO.KOZT_eu.emsc_event_20230208_0000010,quakeml:eu.emsc/event/20230208_0000010,KO.KOZT,5851.0,5930.0,79.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000584,quakeml:eu.emsc/event/20230206_0000584,KO.KOZT,5326.0,5410.0,84.0,updated
event_KO.KOZT_eu.emsc_event_20230215_0000135,quakeml:eu.emsc/event/20230215_0000135,KO.KOZT,4433.0,4420.0,-13.0,updated
event_KO.KMRS_eu.emsc_event_20230212_0000371,quakeml:eu.emsc/event/20230212_0000371,KO.KMRS,4813.0,4860.0,47.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000343,quakeml:eu.emsc/event/20230206_0000343,KO.KOZT,4502.0,4610.0,108.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000419,quakeml:eu.emsc/event/20230206_0000419,KO.KOZT,4555.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000428,quakeml:eu.emsc/event/20230207_0000428,KO.KMRS,3469.0,3560.0,91.0,updated
event_KO.KOZT_eu.emsc_event_20230208_0000403,quakeml:eu.emsc/event/20230208_0000403,KO.KOZT,4550.0,4580.0,30.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000390,quakeml:eu.emsc/event/20230206_0000390,KO.KMRS,4251.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230208_0000262,quakeml:eu.emsc/event/20230208_0000262,KO.KOZT,4748.0,4770.0,22.0,updated
event_KO.KMRS_eu.emsc_event_20230210_0000257,quakeml:eu.emsc/event/20230210_0000257,KO.KMRS,4802.0,4780.0,-22.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000522,quakeml:eu.emsc/event/20230206_0000522,KO.KOZT,5830.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230206_0000287,quakeml:eu.emsc/event/20230206_0000287,KO.KOZT,5679.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230206_0000291,quakeml:eu.emsc/event/20230206_0000291,KO.KOZT,4776.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230211_0000213,quakeml:eu.emsc/event/20230211_0000213,KO.KMRS,4404.0,4460.0,56.0,updated
event_KO.KOZT_eu.emsc_event_20230213_0000324,quakeml:eu.emsc/event/20230213_0000324,KO.KOZT,4733.0,4830.0,97.0,updated
event_KO.KOZT_eu.emsc_event_20230216_0000296,quakeml:eu.emsc/event/20230216_0000296,KO.KOZT,5876.0,5980.0,104.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000230,quakeml:eu.emsc/event/20230206_0000230,KO.KMRS,5594.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000066,quakeml:eu.emsc/event/20230211_0000066,KO.KOZT,5990.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000101,quakeml:eu.emsc/event/20230207_0000101,KO.KMRS,3729.0,3780.0,51.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000345,quakeml:eu.emsc/event/20230206_0000345,KO.KMRS,4764.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000288,quakeml:eu.emsc/event/20230207_0000288,KO.KMRS,3401.0,3370.0,-31.0,updated
event_KO.KMRS_eu.emsc_event_20230209_0000042,quakeml:eu.emsc/event/20230209_0000042,KO.KMRS,4026.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230216_0000126,quakeml:eu.emsc/event/20230216_0000126,KO.KOZT,5816.0,5810.0,-6.0,updated
event_KO.KOZT_eu.emsc_event_20230213_0000094,quakeml:eu.emsc/event/20230213_0000094,KO.KOZT,5822.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000328,quakeml:eu.emsc/event/20230211_0000328,KO.KOZT,4082.0,4130.0,48.0,updated
event_KO.KOZT_eu.emsc_event_20230210_0000024,quakeml:eu.emsc/event/20230210_0000024,KO.KOZT,4540.0,4570.0,30.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000041,quakeml:eu.emsc/event/20230206_0000041,KO.KOZT,5091.0,5110.0,19.0,updated
event_KO.KOZT_eu.emsc_event_20230215_0000155,quakeml:eu.emsc/event/20230215_0000155,KO.KOZT,4449.0,4400.0,-49.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000584,quakeml:eu.emsc/event/20230206_0000584,KO.KMRS,3729.0,3860.0,131.0,updated
event_KO.KOZT_eu.emsc_event_20230218_0000075,quakeml:eu.emsc/event/20230218_0000075,KO.KOZT,4597.0,4560.0,-37.0,updated
event_KO.KMRS_eu.emsc_event_20230208_0000010,quakeml:eu.emsc/event/20230208_0000010,KO.KMRS,4564.0,4630.0,66.0,updated
event_KO.KMRS_eu.emsc_event_20230217_0000076,quakeml:eu.emsc/event/20230217_0000076,KO.KMRS,5179.0,5140.0,-39.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000023,quakeml:eu.emsc/event/20230206_0000023,KO.KMRS,4811.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230206_0000083,quakeml:eu.emsc/event/20230206_0000083,KO.KOZT,4575.0,4680.0,105.0,updated
event_KO.KMRS_eu.emsc_event_20230208_0000403,quakeml:eu.emsc/event/20230208_0000403,KO.KMRS,3775.0,3810.0,35.0,updated
event_KO.KOZT_eu.emsc_event_20230207_0000428,quakeml:eu.emsc/event/20230207_0000428,KO.KOZT,5079.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230216_0000086,quakeml:eu.emsc/event/20230216_0000086,KO.KOZT,4301.0,4180.0,-121.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000343,quakeml:eu.emsc/event/20230206_0000343,KO.KMRS,4286.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230206_0000419,quakeml:eu.emsc/event/20230206_0000419,KO.KMRS,4312.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230209_0000068,quakeml:eu.emsc/event/20230209_0000068,KO.KMRS,4247.0,4230.0,-17.0,updated
event_KO.KOZT_eu.emsc_event_20230212_0000371,quakeml:eu.emsc/event/20230212_0000371,KO.KOZT,5674.0,5750.0,76.0,updated
event_KO.KOZT_eu.emsc_event_20230212_0000340,quakeml:eu.emsc/event/20230212_0000340,KO.KOZT,4956.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000283,quakeml:eu.emsc/event/20230207_0000283,KO.KMRS,4158.0,4110.0,-48.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000264,quakeml:eu.emsc/event/20230206_0000264,KO.KOZT,4581.0,4620.0,39.0,updated
event_KO.KOZT_eu.emsc_event_20230212_0000022,quakeml:eu.emsc/event/20230212_0000022,KO.KOZT,4890.0,4950.0,60.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000429,quakeml:eu.emsc/event/20230206_0000429,KO.KMRS,4152.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230207_0000425,quakeml:eu.emsc/event/20230207_0000425,KO.KOZT,5973.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230211_0000332,quakeml:eu.emsc/event/20230211_0000332,KO.KOZT,5563.0,5640.0,77.0,updated
event_KO.KMRS_eu.emsc_event_20230212_0000055,quakeml:eu.emsc/event/20230212_0000055,KO.KMRS,4774.0,4820.0,46.0,updated
event_KO.KOZT_eu.emsc_event_20230210_0000160,quakeml:eu.emsc/event/20230210_0000160,KO.KOZT,4471.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000445,quakeml:eu.emsc/event/20230207_0000445,KO.KMRS,3673.0,3700.0,27.0,updated
event_KO.KOZT_eu.emsc_event_20230218_0000285,quakeml:eu.emsc/event/20230218_0000285,KO.KOZT,4052.0,4090.0,38.0,updated
event_KO.KMRS_eu.emsc_event_20230219_0000074,quakeml:eu.emsc/event/20230219_0000074,KO.KMRS,3417.0,3430.0,13.0,updated
event_KO.KMRS_eu.emsc_event_20230209_0000477,quakeml:eu.emsc/event/20230209_0000477,KO.KMRS,3904.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230209_0000039,quakeml:eu.emsc/event/20230209_0000039,KO.KOZT,4546.0,4550.0,4.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000370,quakeml:eu.emsc/event/20230206_0000370,KO.KMRS,4110.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230206_0000500,quakeml:eu.emsc/event/20230206_0000500,KO.KOZT,4531.0,4490.0,-41.0,updated
event_KO.KMRS_eu.emsc_event_20230210_0000113,quakeml:eu.emsc/event/20230210_0000113,KO.KMRS,4225.0,4240.0,15.0,updated
event_KO.KMRS_eu.emsc_event_20230211_0000009,quakeml:eu.emsc/event/20230211_0000009,KO.KMRS,4839.0,4770.0,-69.0,updated
event_KO.KOZT_eu.emsc_event_20230207_0000422,quakeml:eu.emsc/event/20230207_0000422,KO.KOZT,4554.0,4480.0,-74.0,updated
event_KO.KOZT_eu.emsc_event_20230212_0000025,quakeml:eu.emsc/event/20230212_0000025,KO.KOZT,4951.0,4960.0,9.0,updated
event_KO.KOZT_eu.emsc_event_20230207_0000423,quakeml:eu.emsc/event/20230207_0000423,KO.KOZT,5106.0,5190.0,84.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000413,quakeml:eu.emsc/event/20230206_0000413,KO.KMRS,4925.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230208_0000144,quakeml:eu.emsc/event/20230208_0000144,KO.KMRS,3308.0,3320.0,12.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000163,quakeml:eu.emsc/event/20230206_0000163,KO.KMRS,3303.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230209_0000438,quakeml:eu.emsc/event/20230209_0000438,KO.KOZT,4361.0,4420.0,59.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000188,quakeml:eu.emsc/event/20230206_0000188,KO.KMRS,5179.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230206_0000261,quakeml:eu.emsc/event/20230206_0000261,KO.KOZT,4496.0,4520.0,24.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000149,quakeml:eu.emsc/event/20230206_0000149,KO.KMRS,5067.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230212_0000253,quakeml:eu.emsc/event/20230212_0000253,KO.KMRS,5130.0,5070.0,-60.0,updated
event_KO.KMRS_eu.emsc_event_20230209_0000276,quakeml:eu.emsc/event/20230209_0000276,KO.KMRS,4380.0,4480.0,100.0,updated
event_KO.KOZT_eu.emsc_event_20230209_0000162,quakeml:eu.emsc/event/20230209_0000162,KO.KOZT,4986.0,5080.0,94.0,updated
event_KO.KOZT_eu.emsc_event_20230210_0000198,quakeml:eu.emsc/event/20230210_0000198,KO.KOZT,4634.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230212_0000185,quakeml:eu.emsc/event/20230212_0000185,KO.KOZT,4448.0,4400.0,-48.0,updated
event_KO.KOZT_eu.emsc_event_20230219_0000004,quakeml:eu.emsc/event/20230219_0000004,KO.KOZT,4553.0,4550.0,-3.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000512,quakeml:eu.emsc/event/20230206_0000512,KO.KOZT,5593.0,5580.0,-13.0,updated
event_KO.KMRS_eu.emsc_event_20230211_0000332,quakeml:eu.emsc/event/20230211_0000332,KO.KMRS,4285.0,4380.0,95.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000429,quakeml:eu.emsc/event/20230206_0000429,KO.KOZT,5358.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230207_0000425,quakeml:eu.emsc/event/20230207_0000425,KO.KMRS,4764.0,4770.0,6.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000264,quakeml:eu.emsc/event/20230206_0000264,KO.KMRS,4104.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230212_0000340,quakeml:eu.emsc/event/20230212_0000340,KO.KMRS,5221.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230207_0000283,quakeml:eu.emsc/event/20230207_0000283,KO.KOZT,5258.0,5270.0,12.0,updated
event_KO.KMRS_eu.emsc_event_20230216_0000277,quakeml:eu.emsc/event/20230216_0000277,KO.KMRS,5420.0,5530.0,110.0,updated
event_KO.KMRS_eu.emsc_event_20230212_0000022,quakeml:eu.emsc/event/20230212_0000022,KO.KMRS,3436.0,3450.0,14.0,updated
event_KO.KOZT_eu.emsc_event_20230219_0000074,quakeml:eu.emsc/event/20230219_0000074,KO.KOZT,5034.0,5010.0,-24.0,updated
event_KO.KOZT_eu.emsc_event_20230209_0000477,quakeml:eu.emsc/event/20230209_0000477,KO.KOZT,4519.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230209_0000311,quakeml:eu.emsc/event/20230209_0000311,KO.KOZT,4462.0,4520.0,58.0,updated
event_KO.KMRS_eu.emsc_event_20230209_0000039,quakeml:eu.emsc/event/20230209_0000039,KO.KMRS,4033.0,4050.0,17.0,updated
event_KO.KMRS_eu.emsc_event_20230218_0000285,quakeml:eu.emsc/event/20230218_0000285,KO.KMRS,4199.0,4260.0,61.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000500,quakeml:eu.emsc/event/20230206_0000500,KO.KMRS,4204.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230217_0000233,quakeml:eu.emsc/event/20230217_0000233,KO.KMRS,5430.0,5200.0,-230.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000528,quakeml:eu.emsc/event/20230206_0000528,KO.KMRS,5302.0,5170.0,-132.0,updated
event_KO.KOZT_eu.emsc_event_20230208_0000343,quakeml:eu.emsc/event/20230208_0000343,KO.KOZT,5875.0,5920.0,45.0,updated
event_KO.KOZT_eu.emsc_event_20230206_0000370,quakeml:eu.emsc/event/20230206_0000370,KO.KOZT,4570.0,4630.0,60.0,updated
event_KO.KOZT_eu.emsc_event_20230215_0000073,quakeml:eu.emsc/event/20230215_0000073,KO.KOZT,5752.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230207_0000445,quakeml:eu.emsc/event/20230207_0000445,KO.KOZT,4555.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230210_0000160,quakeml:eu.emsc/event/20230210_0000160,KO.KMRS,3750.0,3850.0,100.0,updated
event_KO.KMRS_eu.emsc_event_20230212_0000025,quakeml:eu.emsc/event/20230212_0000025,KO.KMRS,5068.0,5110.0,42.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000129,quakeml:eu.emsc/event/20230206_0000129,KO.KMRS,4225.0,,,no_emsc_pick
event_KO.KMRS_eu.emsc_event_20230209_0000438,quakeml:eu.emsc/event/20230209_0000438,KO.KMRS,4127.0,4150.0,23.0,updated
event_KO.KMRS_eu.emsc_event_20230207_0000386,quakeml:eu.emsc/event/20230207_0000386,KO.KMRS,5259.0,5390.0,131.0,updated
event_KO.KOZT_eu.emsc_event_20230208_0000150,quakeml:eu.emsc/event/20230208_0000150,KO.KOZT,4481.0,4480.0,-1.0,updated
event_KO.KOZT_eu.emsc_event_20230208_0000144,quakeml:eu.emsc/event/20230208_0000144,KO.KOZT,4806.0,4840.0,34.0,updated
event_KO.KMRS_eu.emsc_event_20230207_0000423,quakeml:eu.emsc/event/20230207_0000423,KO.KMRS,3479.0,3530.0,51.0,updated
event_KO.KMRS_eu.emsc_event_20230207_0000422,quakeml:eu.emsc/event/20230207_0000422,KO.KMRS,4192.0,4160.0,-32.0,updated
event_KO.KOZT_eu.emsc_event_20230211_0000009,quakeml:eu.emsc/event/20230211_0000009,KO.KOZT,4918.0,4870.0,-48.0,updated
event_KO.KOZT_eu.emsc_event_20230210_0000113,quakeml:eu.emsc/event/20230210_0000113,KO.KOZT,5564.0,5640.0,76.0,updated
event_KO.KOZT_eu.emsc_event_20230213_0000214,quakeml:eu.emsc/event/20230213_0000214,KO.KOZT,4773.0,4860.0,87.0,updated
event_KO.KMRS_eu.emsc_event_20230219_0000004,quakeml:eu.emsc/event/20230219_0000004,KO.KMRS,3972.0,3980.0,8.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000512,quakeml:eu.emsc/event/20230206_0000512,KO.KMRS,4285.0,4370.0,85.0,updated
event_KO.KMRS_eu.emsc_event_20230212_0000185,quakeml:eu.emsc/event/20230212_0000185,KO.KMRS,4186.0,4200.0,14.0,updated
event_KO.KOZT_eu.emsc_event_20230209_0000276,quakeml:eu.emsc/event/20230209_0000276,KO.KOZT,5466.0,5600.0,134.0,updated
event_KO.KMRS_eu.emsc_event_20230206_0000261,quakeml:eu.emsc/event/20230206_0000261,KO.KMRS,4260.0,,,no_emsc_pick
event_KO.KOZT_eu.emsc_event_20230218_0000021,quakeml:eu.emsc/event/20230218_0000021,KO.KOZT,4180.0,4280.0,100.0,updated
ev_KO_GAZ_.emsc_event_20230305_0000262,quakeml:eu.emsc/event/20230305_0000262,KO.GAZ,5062.0,5050.0,-12.0,updated
ev_KO_BNN_.emsc_event_20230306_0000108,quakeml:eu.emsc/event/20230306_0000108,KO.BNN,4789.0,4930.0,141.0,updated
ev_KO_TAHT_.emsc_event_20230308_0000056,quakeml:eu.emsc/event/20230308_0000056,KO.TAHT,5793.0,5720.0,-73.0,updated
ev_KO_BNN_.emsc_event_20230304_0000049,quakeml:eu.emsc/event/20230304_0000049,KO.BNN,5889.0,,,no_emsc_pick
ev_KO_SARI_.emsc_event_20230415_0000246,quakeml:eu.emsc/event/20230415_0000246,KO.SARI,4995.0,5030.0,35.0,updated
ev_KO_SARI_.emsc_event_20230305_0000084,quakeml:eu.emsc/event/20230305_0000084,KO.SARI,3799.0,,,no_emsc_pick
ev_KO_CEYT_.emsc_event_20230324_0000145,quakeml:eu.emsc/event/20230324_0000145,KO.CEYT,5014.0,5030.0,16.0,updated
ev_KO_KOZT_.emsc_event_20230308_0000142,quakeml:eu.emsc/event/20230308_0000142,KO.KOZT,4107.0,4220.0,113.0,updated
ev_KO_BNN_.emsc_event_20230307_0000210,quakeml:eu.emsc/event/20230307_0000210,KO.BNN,5205.0,5150.0,-55.0,updated
ev_KO_URFA_.emsc_event_20230419_0000230,quakeml:eu.emsc/event/20230419_0000230,KO.URFA,5192.0,5270.0,78.0,updated
ev_KO_TAHT_.emsc_event_20230307_0000157,quakeml:eu.emsc/event/20230307_0000157,KO.TAHT,3671.0,3760.0,89.0,updated
ev_KO_SVRC_.emsc_event_20230304_0000253,quakeml:eu.emsc/event/20230304_0000253,KO.SVRC,4212.0,4320.0,108.0,updated
ev_KO_KOZT_.emsc_event_20230305_0000116,quakeml:eu.emsc/event/20230305_0000116,KO.KOZT,4723.0,4750.0,27.0,updated
ev_KO_GAZ_.emsc_event_20230306_0000013,quakeml:eu.emsc/event/20230306_0000013,KO.GAZ,3813.0,3850.0,37.0,updated
ev_KO_TAHT_.emsc_event_20230507_0000029,quakeml:eu.emsc/event/20230507_0000029,KO.TAHT,3227.0,3270.0,43.0,updated
ev_KO_GAZ_.emsc_event_20230304_0000152,quakeml:eu.emsc/event/20230304_0000152,KO.GAZ,5614.0,5690.0,76.0,updated
ev_KO_KOZT_.emsc_event_20230307_0000057,quakeml:eu.emsc/event/20230307_0000057,KO.KOZT,4378.0,,,no_emsc_pick
ev_KO_KOZT_.emsc_event_20230307_0000043,quakeml:eu.emsc/event/20230307_0000043,KO.KOZT,5705.0,5860.0,155.0,updated
ev_KO_GAZ_.emsc_event_20230306_0000007,quakeml:eu.emsc/event/20230306_0000007,KO.GAZ,5381.0,5240.0,-141.0,updated
ev_KO_GAZ_.emsc_event_20230308_0000236,quakeml:eu.emsc/event/20230308_0000236,KO.GAZ,4619.0,4670.0,51.0,updated
ev_KO_BNN_.emsc_event_20230306_0000120,quakeml:eu.emsc/event/20230306_0000120,KO.BNN,4755.0,4860.0,105.0,updated
ev_KO_SARI_.emsc_event_20230312_0000306,quakeml:eu.emsc/event/20230312_0000306,KO.SARI,5237.0,5260.0,23.0,updated
ev_KO_SARI_.emsc_event_20230206_0000238,quakeml:eu.emsc/event/20230206_0000238,KO.SARI,3727.0,,,no_emsc_pick
ev_KO_TAHT_.emsc_event_20230305_0000002,quakeml:eu.emsc/event/20230305_0000002,KO.TAHT,5777.0,5870.0,93.0,updated
ev_KO_SARI_.emsc_event_20230305_0000047,quakeml:eu.emsc/event/20230305_0000047,KO.SARI,5829.0,5870.0,41.0,updated
ev_KO_KMRS_.emsc_event_20230305_0000238,quakeml:eu.emsc/event/20230305_0000238,KO.KMRS,3881.0,3960.0,79.0,updated
ev_KO_KMRS_.emsc_event_20230308_0000244,quakeml:eu.emsc/event/20230308_0000244,KO.KMRS,5519.0,5650.0,131.0,updated
ev_KO_KOZT_.emsc_event_20230308_0000181,quakeml:eu.emsc/event/20230308_0000181,KO.KOZT,4446.0,4410.0,-36.0,updated
ev_KO_KMRS_.emsc_event_20230308_0000250,quakeml:eu.emsc/event/20230308_0000250,KO.KMRS,4973.0,5090.0,117.0,updated
ev_KO_DARE_.emsc_event_20230308_0000059,quakeml:eu.emsc/event/20230308_0000059,KO.DARE,4782.0,4820.0,38.0,updated
ev_KO_TAHT_.emsc_event_20230306_0000298,quakeml:eu.emsc/event/20230306_0000298,KO.TAHT,3673.0,3740.0,67.0,updated
ev_KO_DARE_.emsc_event_20230304_0000329,quakeml:eu.emsc/event/20230304_0000329,KO.DARE,5318.0,5450.0,132.0,updated
ev_KO_SARI_.emsc_event_20230308_0000007,quakeml:eu.emsc/event/20230308_0000007,KO.SARI,4689.0,4740.0,51.0,updated
ev_KO_KMRS_.emsc_event_20230308_0000278,quakeml:eu.emsc/event/20230308_0000278,KO.KMRS,4458.0,4450.0,-8.0,updated
ev_KO_CEYT_.emsc_event_20230306_0000157,quakeml:eu.emsc/event/20230306_0000157,KO.CEYT,5410.0,,,no_emsc_pick
ev_KO_DYBB_.emsc_event_20230713_0000171,quakeml:eu.emsc/event/20230713_0000171,KO.DYBB,5525.0,,,no_emsc_pick
ev_KO_URFA_.emsc_event_20230304_0000059,quakeml:eu.emsc/event/20230304_0000059,KO.URFA,5025.0,5030.0,5.0,updated
ev_KO_URFA_.emsc_event_20230629_0000227,quakeml:eu.emsc/event/20230629_0000227,KO.URFA,4488.0,4610.0,122.0,updated
ev_KO_SVRC_.emsc_event_20230307_0000220,quakeml:eu.emsc/event/20230307_0000220,KO.SVRC,3991.0,3970.0,-21.0,updated
ev_KO_DARE_.emsc_event_20230306_0000095,quakeml:eu.emsc/event/20230306_0000095,KO.DARE,4993.0,5110.0,117.0,updated
ev_KO_KOZT_.emsc_event_20230307_0000269,quakeml:eu.emsc/event/20230307_0000269,KO.KOZT,5263.0,5330.0,67.0,updated
ev_KO_BNN_.emsc_event_20230428_0000124,quakeml:eu.emsc/event/20230428_0000124,KO.BNN,5978.0,,,no_emsc_pick
ev_KO_GAZ_.emsc_event_20230307_0000121,quakeml:eu.emsc/event/20230307_0000121,KO.GAZ,4705.0,4740.0,35.0,updated
ev_KO_DARE_.emsc_event_20230418_0000066,quakeml:eu.emsc/event/20230418_0000066,KO.DARE,4473.0,4460.0,-13.0,updated
ev_KO_GAZ_.emsc_event_20230305_0000060,quakeml:eu.emsc/event/20230305_0000060,KO.GAZ,5437.0,5450.0,13.0,updated
ev_KO_KOZT_.emsc_event_20230306_0000165,quakeml:eu.emsc/event/20230306_0000165,KO.KOZT,5483.0,5550.0,67.0,updated
